"DXXTRA.Code.or.Value","DXXTRA.Value.Description","DXXTRA.Count","DXXTRA.Cumulative","DXXTRA.Skip.to.Item"
"2.15 to 21.47","Range of Values",6517,6517,NA
".","Missing",1217,7734,NA
