"LBXMS2.Code.or.Value","LBXMS2.Value.Description","LBXMS2.Count","LBXMS2.Cumulative","LBXMS2.Skip.to.Item"
"1","Yes",22,22,NA
"2","No",0,22,NA
".","Missing",9907,9929,NA
