"LBDRSTSI.Code.or.Value","LBDRSTSI.Value.Description","LBDRSTSI.Count","LBDRSTSI.Cumulative","LBDRSTSI.Skip.to.Item"
"0.0038 to 0.4542","Range of Values",4761,4761,NA
"0.0028","Fill Value of Limit of Detection",2507,7268,NA
".","Missing",714,7982,NA
