"WBXP043.Code.or.Value","WBXP043.Value.Description","WBXP043.Count","WBXP043.Cumulative","WBXP043.Skip.to.Item"
"-153.4255 to 168.0954","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
