"WBXF060.Code.or.Value","WBXF060.Value.Description","WBXF060.Count","WBXF060.Cumulative","WBXF060.Skip.to.Item"
"2058.6045 to 2058.6045","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
