"DR2MC.Code.or.Value","DR2MC.Value.Description","DR2MC.Count","DR2MC.Cumulative","DR2MC.Skip.to.Item"
"100000 to 206880","Range of Values",3230,3230,NA
"0","No modification",128921,132151,NA
".","Missing",0,132151,NA
