"ECD070A.Code.or.Value","ECD070A.Value.Description","ECD070A.Count","ECD070A.Cumulative","ECD070A.Skip.to.Item"
"1 to 12","Range of Values",3578,3578,NA
"13","13 pounds or more",8,3586,NA
"7777","Refused",0,3586,NA
"9999","Don't know",62,3648,NA
".","Missing",0,3648,NA
