"DR1IVB1.Code.or.Value","DR1IVB1.Value.Description","DR1IVB1.Count","DR1IVB1.Cumulative","DR1IVB1.Skip.to.Item"
"0 to 15.717","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
