"LBC066LA.Code.or.Value","LBC066LA.Value.Description","LBC066LA.Count","LBC066LA.Cumulative","LBC066LA.Skip.to.Item"
"0.1414 to 8.647","Range of Values",251,251,NA
".","Missing",0,251,NA
