"LBXRBF.Code.or.Value","LBXRBF.Value.Description","LBXRBF.Count","LBXRBF.Cumulative","LBXRBF.Skip.to.Item"
"18 to 1901","Range of Values",8296,8296,NA
".","Missing",883,9179,NA
