"LBDSGLSI.Code.or.Value","LBDSGLSI.Value.Description","LBDSGLSI.Count","LBDSGLSI.Cumulative","LBDSGLSI.Skip.to.Item"
"2.33 to 28.48","Range of Values",6434,6434,NA
".","Missing",546,6980,NA
