"LBCBR5LA.Code.or.Value","LBCBR5LA.Value.Description","LBCBR5LA.Count","LBCBR5LA.Cumulative","LBCBR5LA.Skip.to.Item"
"1 to 51.9","Range of Values",264,264,NA
".","Missing",0,264,NA
