"WBXA057.Code.or.Value","WBXA057.Value.Description","WBXA057.Count","WBXA057.Cumulative","WBXA057.Skip.to.Item"
"-5.6685 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
