"LBC167LA.Code.or.Value","LBC167LA.Value.Description","LBC167LA.Count","LBC167LA.Cumulative","LBC167LA.Skip.to.Item"
"0.11 to 11.56","Range of Values",247,247,NA
".","Missing",0,247,NA
