"DS1IFA.Code.or.Value","DS1IFA.Value.Description","DS1IFA.Count","DS1IFA.Cumulative","DS1IFA.Skip.to.Item"
"4 to 10000","Range of Values",1550,1550,NA
".","Missing",4518,6068,NA
