"RFXC141.Code.or.Value","RFXC141.Value.Description","RFXC141.Count","RFXC141.Cumulative","RFXC141.Skip.to.Item"
"-3.015 to 6.578","Range of Values",51053,51053,NA
".","Missing",23,51076,NA
