"DS1TSODI.Code.or.Value","DS1TSODI.Value.Description","DS1TSODI.Count","DS1TSODI.Cumulative","DS1TSODI.Skip.to.Item"
"0.4 to 230","Range of Values",461,461,NA
".","Missing",8877,9338,NA
