"DR2TWS.Code.or.Value","DR2TWS.Value.Description","DR2TWS.Count","DR2TWS.Cumulative","DR2TWS.Skip.to.Item"
"1","Community supply",5340,5340,NA
"2","Well or rain cistern",836,6176,NA
"3","Spring",41,6217,NA
"4","Don't drink tap water",1942,8159,NA
"91","Other",1,8160,NA
"99","Don't know",307,8467,NA
".","Missing",1786,10253,NA
