"DR2IM221.Code.or.Value","DR2IM221.Value.Description","DR2IM221.Count","DR2IM221.Cumulative","DR2IM221.Skip.to.Item"
"0 to 4.218","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
