"MCQ260GA.Code.or.Value","MCQ260GA.Value.Description","MCQ260GA.Count","MCQ260GA.Cumulative","MCQ260GA.Skip.to.Item"
"1","Mother",123,123,NA
"77","Refused",0,123,NA
"99","Don't know",1,124,NA
".","Missing",10346,10470,NA
