"LBCD02LA.Code.or.Value","LBCD02LA.Value.Description","LBCD02LA.Count","LBCD02LA.Cumulative","LBCD02LA.Skip.to.Item"
"0.0445 to 17.4","Range of Values",247,247,NA
".","Missing",17,264,NA
