"DXXTRA.Code.or.Value","DXXTRA.Value.Description","DXXTRA.Count","DXXTRA.Cumulative","DXXTRA.Skip.to.Item"
"6.77 to 22.47","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
