"AUXLR175.Code.or.Value","AUXLR175.Value.Description","AUXLR175.Count","AUXLR175.Cumulative","AUXLR175.Skip.to.Item"
"-13 to 65","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
