"LBDVD3LC.Code.or.Value","LBDVD3LC.Value.Description","LBDVD3LC.Count","LBDVD3LC.Cumulative","LBDVD3LC.Skip.to.Item"
"0","At or above the detection limit",8443,8443,NA
"1","Below lower detection limit",0,8443,NA
".","Missing",979,9422,NA
