"DS1IPHOS.Code.or.Value","DS1IPHOS.Value.Description","DS1IPHOS.Count","DS1IPHOS.Cumulative","DS1IPHOS.Skip.to.Item"
"5 to 1200","Range of Values",521,521,NA
".","Missing",5437,5958,NA
