"CBD070.Code.or.Value","CBD070.Value.Description","CBD070.Count","CBD070.Cumulative","CBD070.Skip.to.Item"
"0 to 7000","Range of Values",9860,9860,NA
"777777","Refused",15,9875,NA
"999999","Don't know",151,10026,NA
".","Missing",123,10149,NA
