"DXXRALI.Code.or.Value","DXXRALI.Value.Description","DXXRALI.Count","DXXRALI.Cumulative","DXXRALI.Skip.to.Item"
"633 to 8907.6","Range of Values",4973,4973,NA
".","Missing",807,5780,NA
