"PAXVMH.Code.or.Value","PAXVMH.Value.Description","PAXVMH.Count","PAXVMH.Cumulative","PAXVMH.Skip.to.Item"
"0 to 60","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
