"DR2IRET.Code.or.Value","DR2IRET.Value.Description","DR2IRET.Count","DR2IRET.Cumulative","DR2IRET.Skip.to.Item"
"0 to 19312","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
