"SXD510.Code.or.Value","SXD510.Value.Description","SXD510.Count","SXD510.Cumulative","SXD510.Skip.to.Item"
"0 to 45","Range of Values",1655,1655,NA
"77777","Refused",0,1655,NA
"99999","Don't know",2,1657,NA
".","Missing",3186,4843,NA
