"LBXVD2MS.Code.or.Value","LBXVD2MS.Value.Description","LBXVD2MS.Count","LBXVD2MS.Cumulative","LBXVD2MS.Skip.to.Item"
"1.45 to 229","Range of Values",7748,7748,NA
".","Missing",1208,8956,NA
