"PFQ061L.Code.or.Value","PFQ061L.Value.Description","PFQ061L.Count","PFQ061L.Cumulative","PFQ061L.Skip.to.Item"
"1","No difficulty",2448,2448,NA
"2","Some difficulty",322,2770,NA
"3","Much difficulty",69,2839,NA
"4","Unable to do",27,2866,NA
"5","Do not do this activity",6,2872,NA
"7","Refused",0,2872,NA
"9","Don't know",0,2872,NA
".","Missing",6144,9016,NA
