"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"0.42 to 30321","Range of Values",2489,2489,NA
".","Missing",105,2594,NA
