"VIXKLG1.Code.or.Value","VIXKLG1.Value.Description","VIXKLG1.Count","VIXKLG1.Cumulative","VIXKLG1.Skip.to.Item"
"0 to 180","Range of Values",6460,6460,NA
"888","Could not obtain",67,6527,NA
".","Missing",453,6980,NA
