"DTD200Q.Code.or.Value","DTD200Q.Value.Description","DTD200Q.Count","DTD200Q.Cumulative","DTD200Q.Skip.to.Item"
"0 to 70","Range of Values",7842,7842,NA
"777","Refused",3,7845,NA
"999","Don't know",10,7855,NA
".","Missing",686,8541,NA
