"DRXTPHOS.Code.or.Value","DRXTPHOS.Value.Description","DRXTPHOS.Count","DRXTPHOS.Cumulative","DRXTPHOS.Skip.to.Item"
"0 to 6779.44","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
