"BPQ150B.Code.or.Value","BPQ150B.Value.Description","BPQ150B.Count","BPQ150B.Cumulative","BPQ150B.Skip.to.Item"
"1","Yes",2,2,NA
"2","No",7917,7919,NA
".","Missing",2558,10477,NA
