"URXUMMA.Code.or.Value","URXUMMA.Value.Description","URXUMMA.Count","URXUMMA.Cumulative","URXUMMA.Skip.to.Item"
"0.63 to 72.9","Range of Values",2277,2277,NA
".","Missing",72,2349,NA
