"URXUMA.Code.or.Value","URXUMA.Value.Description","URXUMA.Count","URXUMA.Cumulative","URXUMA.Skip.to.Item"
"0.3 to 14170","Range of Values",7832,7832,NA
"0.21","At or below detection limit fill value",11,7843,NA
".","Missing",243,8086,NA
