"DRQ370EQ.Code.or.Value","DRQ370EQ.Value.Description","DRQ370EQ.Count","DRQ370EQ.Cumulative","DRQ370EQ.Skip.to.Item"
"1 to 30","Range of Values",367,367,NA
".","Missing",8915,9282,NA
