"RDQ134.Code.or.Value","RDQ134.Value.Description","RDQ134.Count","RDQ134.Cumulative","RDQ134.Skip.to.Item"
"1","Yes",824,824,NA
"2","No",505,1329,NA
"7","Refused",0,1329,NA
"9","Don't know",1,1330,NA
".","Missing",8492,9822,NA
