"DR1TP204.Code.or.Value","DR1TP204.Value.Description","DR1TP204.Count","DR1TP204.Cumulative","DR1TP204.Skip.to.Item"
"0 to 2.461","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
