"VTQ200A.Code.or.Value","VTQ200A.Value.Description","VTQ200A.Count","VTQ200A.Cumulative","VTQ200A.Skip.to.Item"
"1","Yes",776,776,NA
"2","No",1798,2574,NA
"7","Refused",0,2574,NA
"9","Don't know",15,2589,NA
".","Missing",705,3294,NA
