"MCQ370d.Code.or.Value","MCQ370d.Value.Description","MCQ370d.Count","MCQ370d.Cumulative","MCQ370d.Skip.to.Item"
"1","Yes",3219,3219,NA
"2","No",2950,6169,NA
"7","Refused",1,6170,NA
"9","Don't know",4,6174,NA
".","Missing",3190,9364,NA
