"DCQ070C.Code.or.Value","DCQ070C.Value.Description","DCQ070C.Count","DCQ070C.Cumulative","DCQ070C.Skip.to.Item"
"1","Yes",141,141,NA
"2","No",848,989,NA
".","Missing",96,1085,NA
