"SDDSRVYR.Code.or.Value","SDDSRVYR.Value.Description","SDDSRVYR.Count","SDDSRVYR.Cumulative","SDDSRVYR.Skip.to.Item"
"7","NHANES 2011-2012 public release",9756,9756,NA
".","Missing",0,9756,NA
