"DRD370D.Code.or.Value","DRD370D.Value.Description","DRD370D.Count","DRD370D.Cumulative","DRD370D.Skip.to.Item"
"1","Yes",817,817,""
"2","No",4065,4882,"DRD370E"
".","Missing",4662,9544,""
