"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",408,408,""
"2","No",5016,5424,"DRD370V"
".","Missing",4338,9762,""
