"DR1IP204.Code.or.Value","DR1IP204.Value.Description","DR1IP204.Count","DR1IP204.Cumulative","DR1IP204.Skip.to.Item"
"0 to 2.353","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
