"DUQ110.Code.or.Value","DUQ110.Value.Description","DUQ110.Count","DUQ110.Cumulative","DUQ110.Skip.to.Item"
"0 to 365","Range of Values",477,477,NA
"777","Refused",5,482,NA
"999","Don't know",0,482,NA
".","Missing",2356,2838,NA
