"RFXT081.Code.or.Value","RFXT081.Value.Description","RFXT081.Count","RFXT081.Cumulative","RFXT081.Skip.to.Item"
"699 to 707","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
