"VTQ280B.Code.or.Value","VTQ280B.Value.Description","VTQ280B.Count","VTQ280B.Cumulative","VTQ280B.Skip.to.Item"
"1","Yes",186,186,NA
"2","No",1274,1460,NA
"7","Refused",3,1463,NA
"9","Don't know",1,1464,NA
".","Missing",25,1489,NA
