"SMD430.Code.or.Value","SMD430.Value.Description","SMD430.Count","SMD430.Cumulative","SMD430.Skip.to.Item"
"1 to 38","Range of Values",1528,1528,NA
"40","40 or more",209,1737,NA
".","Missing",8412,10149,NA
