"DXXL4BMD.Code.or.Value","DXXL4BMD.Value.Description","DXXL4BMD.Count","DXXL4BMD.Cumulative","DXXL4BMD.Skip.to.Item"
"0.38 to 2.133","Range of Values",6336,6336,NA
".","Missing",1849,8185,NA
