"LBCBR2LA.Code.or.Value","LBCBR2LA.Value.Description","LBCBR2LA.Count","LBCBR2LA.Cumulative","LBCBR2LA.Skip.to.Item"
"0.3 to 8.5","Range of Values",247,247,NA
".","Missing",0,247,NA
