"RXDUSE.Code.or.Value","RXDUSE.Value.Description","RXDUSE.Count","RXDUSE.Cumulative","RXDUSE.Skip.to.Item"
"1","Yes",12957,12957,""
"2","No",5744,18701,"End of Section"
"7","Refused",2,18703,"End of Section"
"9","Don't know",1,18704,"End of Section"
".","Missing",0,18704,""
