"LBCF01.Code.or.Value","LBCF01.Value.Description","LBCF01.Count","LBCF01.Cumulative","LBCF01.Skip.to.Item"
"0.648 to 12.1","Range of Values",246,246,NA
".","Missing",1,247,NA
