"OCQ540.Code.or.Value","OCQ540.Value.Description","OCQ540.Count","OCQ540.Cumulative","OCQ540.Skip.to.Item"
"0 to 67","Range of Values",1243,1243,NA
"7777","Refused",1,1244,NA
"9999","Don't know",5,1249,NA
".","Missing",5297,6546,NA
