"LBDBPBSI.Code.or.Value","LBDBPBSI.Value.Description","LBDBPBSI.Count","LBDBPBSI.Cumulative","LBDBPBSI.Skip.to.Item"
"0.002 to 1.136","Range of Values",4988,4988,NA
".","Missing",827,5815,NA
