"DRD370I.Code.or.Value","DRD370I.Value.Description","DRD370I.Count","DRD370I.Cumulative","DRD370I.Skip.to.Item"
"1","Yes",121,121,""
"2","No",5168,5289,"DRD370J"
".","Missing",4049,9338,""
