"BIXS273K.Code.or.Value","BIXS273K.Value.Description","BIXS273K.Count","BIXS273K.Cumulative","BIXS273K.Skip.to.Item"
"83.24 to 871.11","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
