"MCQ240r.Code.or.Value","MCQ240r.Value.Description","MCQ240r.Count","MCQ240r.Cumulative","MCQ240r.Skip.to.Item"
"80","80 years or older",0,0,NA
"77777","Refused",0,0,NA
"99999","Don't know",0,0,NA
".","Missing",9770,9770,NA
