subject,predicate,value
CHEBI:8907,rdfs:label,rubixanthin
CHEBI:8907,rdfs:label,rubixanthin
CHEBI:89400,rdfs:label,stigmastanol
CHEBI:89400,rdfs:label,stigmastanol
CHEBI:89634,rdfs:label,Melanin
CHEBI:89634,rdfs:label,Melanin
CHEBI:90,rdfs:label,(-)-epicatechin
CHEBI:90,rdfs:label,(-)-epicatechin
CHEBI:90236,rdfs:label,"(2E,6E)-farnesyl monophosphate"
CHEBI:90236,rdfs:label,"(2E,6E)-farnesyl monophosphate"
CHEBI:9045,rdfs:label,Sayanedine
CHEBI:9045,rdfs:label,Sayanedine
CHEBI:9048,rdfs:label,Schisantherin A
CHEBI:9048,rdfs:label,Schisantherin A
CHEBI:9055,rdfs:label,scoparone
CHEBI:9055,rdfs:label,scoparone
CHEBI:9062,rdfs:label,scutellarein
CHEBI:9062,rdfs:label,scutellarein
CHEBI:90852,rdfs:label,N-sulfonylcarboxamide
CHEBI:9127,rdfs:label,Sesamolinol
CHEBI:9127,rdfs:label,Sesamolinol
CHEBI:9151,rdfs:label,Sinalbin
CHEBI:9151,rdfs:label,Sinalbin
CHEBI:9159,rdfs:label,sinensetin
CHEBI:9159,rdfs:label,sinensetin
CHEBI:9162,rdfs:label,sinigrin(1-)
CHEBI:9162,rdfs:label,sinigrin(1-)
CHEBI:9188,rdfs:label,solanine
CHEBI:9188,rdfs:label,solanine
CHEBI:9209,rdfs:label,soyasapogenol B
CHEBI:9209,rdfs:label,soyasapogenol B
CHEBI:9210,rdfs:label,Soyasaponin A1
CHEBI:9210,rdfs:label,Soyasaponin A1
CHEBI:9211,rdfs:label,soyasaponin I
CHEBI:9211,rdfs:label,soyasaponin I
CHEBI:9228,rdfs:label,Spinasaponin A
CHEBI:9228,rdfs:label,Spinasaponin A
CHEBI:9254,rdfs:label,magnesium distearate
CHEBI:9254,rdfs:label,magnesium distearate
CHEBI:9271,rdfs:label,stevioside
CHEBI:9271,rdfs:label,stevioside
CHEBI:9349,rdfs:label,sulfonyldimethane
CHEBI:9349,rdfs:label,sulfonyldimethane
CHEBI:93909,rdfs:label,"2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydro-2H-1-benzopyran-6-ol"
CHEBI:9400,rdfs:label,tangeretin
CHEBI:9400,rdfs:label,tangeretin
CHEBI:9405,rdfs:label,tartrazine
CHEBI:9433,rdfs:label,Tellimagrandin I
CHEBI:9433,rdfs:label,Tellimagrandin I
CHEBI:9454,rdfs:label,Terminalin
CHEBI:9454,rdfs:label,Terminalin
CHEBI:9517,rdfs:label,Theasaponin
CHEBI:9517,rdfs:label,Theasaponin
CHEBI:9518,rdfs:label,theasinensin A
CHEBI:9518,rdfs:label,theasinensin A
CHEBI:9522,rdfs:label,theogallin
CHEBI:9522,rdfs:label,theogallin
CHEBI:9577,rdfs:label,(−)-α-thujone
CHEBI:9577,rdfs:label,(-)-alpha-thujone
CHEBI:9630,rdfs:label,tomatine
CHEBI:9630,rdfs:label,tomatine
CHEBI:9647,rdfs:label,Trachelogenin
CHEBI:9647,rdfs:label,Trachelogenin
CHEBI:9679,rdfs:label,tricalcium bis(phosphate)
CHEBI:9698,rdfs:label,Tricyclodehydroisohumulone
CHEBI:9698,rdfs:label,Tricyclodehydroisohumulone
CHEBI:9908,rdfs:label,ursolic acid
CHEBI:9908,rdfs:label,ursolic acid
DRON:00012339,rdfs:label,Propolis
ECOCORE:00000008,rdfs:label,trophic process
ECOCORE:00000009,rdfs:label,autotrophy
ECOCORE:00000011,rdfs:label,heterotrophy
ECOCORE:00000013,rdfs:label,nectivory
ECOCORE:00000014,rdfs:label,lithotrophy
ECOCORE:00000016,rdfs:label,fungivory
ECOCORE:00000017,rdfs:label,phototrophy
ECOCORE:00000020,rdfs:label,herbivory
ECOCORE:00000021,rdfs:label,carnivory
ECOCORE:00000022,rdfs:label,symbiosis
ECOCORE:00000047,rdfs:label,parasitism
ECOCORE:00000057,rdfs:label,detritivory
ECOCORE:00000058,rdfs:label,decomposition
ECOCORE:00000059,rdfs:label,saprotrophy
ECOCORE:00000060,rdfs:label,symbiotrophy
ECOCORE:00000099,rdfs:label,herbivorous grazing
ECOCORE:00000100,rdfs:label,seed predation
ECOCORE:00000101,rdfs:label,herbivorous browsing
ECOCORE:00000102,rdfs:label,predation
ECOCORE:00000103,rdfs:label,scavenging
ECOCORE:00000104,rdfs:label,cannibalism
ECOCORE:00000105,rdfs:label,intrauterine cannibalism
ECOCORE:00000106,rdfs:label,adelphophagy
ECOCORE:00000107,rdfs:label,oophagy
ECOCORE:00000108,rdfs:label,insectivory
ECOCORE:00000109,rdfs:label,egg predation
ECOCORE:00000110,rdfs:label,social predation
ECOCORE:00000111,rdfs:label,monophagy
ECOCORE:00000112,rdfs:label,oligophagy
ECOCORE:00000113,rdfs:label,polyphagy
ECOCORE:00000114,rdfs:label,bactivory
ECOCORE:00000139,rdfs:label,grazing
ECOCORE:00000147,rdfs:label,trophic parasitism
ECOCORE:00000154,rdfs:label,ophiophagy
ECOCORE:00000155,rdfs:label,durophagy
ECOCORE:00000160,rdfs:label,chemosymbiosis
ECOCORE:00000161,rdfs:label,photosymbiosis
ECOCORE:00000162,rdfs:label,organotrophy
ECOCORE:00000163,rdfs:label,chemotrophy
ECOCORE:00000165,rdfs:label,hematophagy
ECOCORE:00000182,rdfs:label,deposit feeding
ENVO:00000000,rdfs:label,geographic feature
ENVO:00000002,rdfs:label,anthropogenic geographic feature
ENVO:00000004,rdfs:label,administrative region
ENVO:00000009,rdfs:label,national geopolitical entity
ENVO:00000011,rdfs:label,garden
ENVO:00000012,rdfs:label,hydrographic feature
ENVO:00000014,rdfs:label,canal
ENVO:00000015,rdfs:label,ocean
ENVO:00000016,rdfs:label,sea
ENVO:00000020,rdfs:label,lake
ENVO:00000022,rdfs:label,river
ENVO:00000023,rdfs:label,stream
ENVO:00000026,rdfs:label,well
ENVO:00000027,rdfs:label,spring
ENVO:00000029,rdfs:label,watercourse
ENVO:00000033,rdfs:label,pond
ENVO:00000037,rdfs:label,ditch
ENVO:00000043,rdfs:label,wetland area
ENVO:00000062,rdfs:label,populated place
ENVO:00000063,rdfs:label,water body
ENVO:00000070,rdfs:label,human construction
ENVO:00000073,rdfs:label,building
ENVO:00000077,rdfs:label,agricultural ecosystem
ENVO:00000078,rdfs:label,farm
ENVO:00000086,rdfs:label,plain
ENVO:00000091,rdfs:label,beach
ENVO:00000097,rdfs:label,desert area
ENVO:00000106,rdfs:label,grassland area
ENVO:00000109,rdfs:label,woodland area
ENVO:00000111,rdfs:label,forested area
ENVO:00000112,rdfs:label,area of tundra
ENVO:00000114,rdfs:label,agricultural field
ENVO:00000117,rdfs:label,plantation
ENVO:00000121,rdfs:label,artificial channel
ENVO:00000123,rdfs:label,political entity
ENVO:00000124,rdfs:label,supranational geopolitical entity
ENVO:00000139,rdfs:label,irrigation ditch
ENVO:00000191,rdfs:label,solid astronomical body part
ENVO:00000266,rdfs:label,pasture
ENVO:00000292,rdfs:label,watershed
ENVO:00000294,rdfs:label,fish farm
ENVO:00000295,rdfs:label,fish hatchery
ENVO:00000300,rdfs:label,scrubland area
ENVO:00000309,rdfs:label,depression
ENVO:00000395,rdfs:label,channel of a watercourse
ENVO:00000428,rdfs:label,biome
ENVO:00000446,rdfs:label,terrestrial biome
ENVO:00000447,rdfs:label,marine biome
ENVO:00000508,rdfs:label,terrace
ENVO:00000519,rdfs:label,agricultural terrace
ENVO:00000856,rdfs:label,city
ENVO:00000873,rdfs:label,freshwater biome
ENVO:00001998,rdfs:label,soil
ENVO:00001999,rdfs:label,marine water body
ENVO:00002000,rdfs:label,slope
ENVO:00002001,rdfs:label,waste water
ENVO:00002006,rdfs:label,liquid water
ENVO:00002008,rdfs:label,dust
ENVO:00002010,rdfs:label,saline water
ENVO:00002011,rdfs:label,fresh water
ENVO:00002018,rdfs:label,sewage
ENVO:00002030,rdfs:label,aquatic biome
ENVO:00002040,rdfs:label,wood
ENVO:00002149,rdfs:label,sea water
ENVO:00002186,rdfs:label,contaminated water
ENVO:00002191,rdfs:label,animal litter
ENVO:00002221,rdfs:label,shop
ENVO:00002222,rdfs:label,food shop
ENVO:00002258,rdfs:label,loam
ENVO:00002259,rdfs:label,agricultural soil
ENVO:00002263,rdfs:label,garden soil
ENVO:00002264,rdfs:label,waste material
ENVO:00003030,rdfs:label,silage
ENVO:00003031,rdfs:label,animal manure
ENVO:00003032,rdfs:label,fresh animal manure
ENVO:00003040,rdfs:label,animal house
ENVO:00003041,rdfs:label,cow shed
ENVO:00003064,rdfs:label,drinking water
ENVO:00003071,rdfs:label,grass silage
ENVO:00003074,rdfs:label,manufactured product
ENVO:00003096,rdfs:label,tap water
ENVO:00003859,rdfs:label,horse manure
ENVO:00003860,rdfs:label,pig manure
ENVO:00003861,rdfs:label,industrial building
ENVO:00003862,rdfs:label,dairy
ENVO:00003863,rdfs:label,food processing building
ENVO:00003864,rdfs:label,bakery
ENVO:00003884,rdfs:label,farmyard manure
ENVO:00003885,rdfs:label,brewery
ENVO:00003895,rdfs:label,paper product
ENVO:00003900,rdfs:label,rye grass silage
ENVO:00003927,rdfs:label,stable manure
ENVO:00003978,rdfs:label,potato silage
ENVO:00005747,rdfs:label,compost soil
ENVO:00005749,rdfs:label,farm soil
ENVO:00010483,rdfs:label,environmental material
ENVO:00010504,rdfs:label,surface layer
ENVO:00010625,rdfs:label,zoological garden
ENVO:0010001,rdfs:label,anthropogenic environmental material
ENVO:0010003,rdfs:label,agricultural environmental material
ENVO:01000001,rdfs:label,mud
ENVO:01000002,rdfs:label,water well
ENVO:01000017,rdfs:label,sand
ENVO:01000018,rdfs:label,gravel
ENVO:01000044,rdfs:label,marine pelagic feature
ENVO:01000048,rdfs:label,ocean biome
ENVO:01000060,rdfs:label,particulate matter
ENVO:01000155,rdfs:label,organic material
ENVO:01000174,rdfs:label,forest biome
ENVO:01000175,rdfs:label,woodland biome
ENVO:01000176,rdfs:label,shrubland biome
ENVO:01000177,rdfs:label,grassland biome
ENVO:01000179,rdfs:label,desert biome
ENVO:01000180,rdfs:label,tundra biome
ENVO:01000181,rdfs:label,mangrove biome
ENVO:01000219,rdfs:label,anthropogenic terrestrial biome
ENVO:01000245,rdfs:label,cropland biome
ENVO:01000246,rdfs:label,village biome
ENVO:01000247,rdfs:label,rangeland biome
ENVO:01000248,rdfs:label,dense settlement biome
ENVO:01000252,rdfs:label,freshwater lake biome
ENVO:01000253,rdfs:label,freshwater river biome
ENVO:01000254,rdfs:label,environmental system
ENVO:01000277,rdfs:label,water ice
ENVO:01000281,rdfs:label,layer
ENVO:01000320,rdfs:label,marine environment
ENVO:01000352,rdfs:label,field
ENVO:01000404,rdfs:label,manufactured plastic
ENVO:01000408,rdfs:label,environmental zone
ENVO:01000417,rdfs:label,house
ENVO:01000418,rdfs:label,human house
ENVO:01000480,rdfs:label,glass
ENVO:01000486,rdfs:label,building floor
ENVO:01000575,rdfs:label,wax
ENVO:01000617,rdfs:label,lentic water body
ENVO:01000618,rdfs:label,lotic water body
ENVO:01000625,rdfs:label,manufactured cage
ENVO:01000626,rdfs:label,drylot
ENVO:01000627,rdfs:label,feedlot
ENVO:01000658,rdfs:label,dense settlement
ENVO:01000685,rdfs:label,water mass
ENVO:01000752,rdfs:label,area of barren land
ENVO:01000781,rdfs:label,public building
ENVO:01000813,rdfs:label,astronomical body part
ENVO:01000814,rdfs:label,solid environmental material
ENVO:01000815,rdfs:label,liquid environmental material
ENVO:01000918,rdfs:label,open animal house
ENVO:01000921,rdfs:label,closed animal house
ENVO:01000922,rdfs:label,animal cage
ENVO:01000923,rdfs:label,petting zoo
ENVO:01000924,rdfs:label,plumbing drain
ENVO:01000925,rdfs:label,abattoir
ENVO:01000927,rdfs:label,day care building
ENVO:01000928,rdfs:label,fish processing building
ENVO:01000932,rdfs:label,nursing home
ENVO:01000933,rdfs:label,residential building
ENVO:01000934,rdfs:label,restaurant
ENVO:01000935,rdfs:label,campground
ENVO:01000936,rdfs:label,dedicated campground
ENVO:01000937,rdfs:label,impromptu campground
ENVO:01000938,rdfs:label,hot tub
ENVO:01001069,rdfs:label,metallic material
ENVO:01001110,rdfs:label,ecosystem
ENVO:01001116,rdfs:label,bovine dairy liquid manure
ENVO:01001119,rdfs:label,composted animal manure
ENVO:01001125,rdfs:label,ice
ENVO:01001199,rdfs:label,terrestrial environmental zone
ENVO:01001206,rdfs:label,grassland ecosystem
ENVO:01001222,rdfs:label,commercial building
ENVO:01001243,rdfs:label,forest ecosystem
ENVO:01001244,rdfs:label,cropland ecosystem
ENVO:01001275,rdfs:label,solid layer
ENVO:01001305,rdfs:label,vegetated area
ENVO:01001308,rdfs:label,hydroform
ENVO:01001311,rdfs:label,solid surface layer
ENVO:01001319,rdfs:label,saline water body
ENVO:01001476,rdfs:label,body of liquid
ENVO:01001477,rdfs:label,liquid astronomical body part
ENVO:01001479,rdfs:label,fluid astronomical body part
ENVO:01001480,rdfs:label,domestic building
ENVO:01001483,rdfs:label,surface of an astronomical body
ENVO:01001684,rdfs:label,interface layer
ENVO:01001780,rdfs:label,desert ecosystem
ENVO:01001784,rdfs:label,compound astronomical body part
ENVO:01001787,rdfs:label,aquatic ecosystem
ENVO:01001788,rdfs:label,marine ecosystem
ENVO:01001789,rdfs:label,freshwater ecosystem
ENVO:01001790,rdfs:label,terrestrial ecosystem
ENVO:01001813,rdfs:label,construction
ENVO:01001873,rdfs:label,hatchery
ENVO:02000001,rdfs:label,textile
ENVO:02000047,rdfs:label,animal feed
ENVO:02000054,rdfs:label,bone meal
ENVO:02000055,rdfs:label,plant feed
ENVO:02000090,rdfs:label,ash
ENVO:02000140,rdfs:label,fluid environmental material
ENVO:02500000,rdfs:label,environmental system process
FAO:0000001,rdfs:label,fungal structure
FAO:0000002,rdfs:label,composite structure
FAO:0000003,rdfs:label,basidium
FAO:0000004,rdfs:label,ascocarp-bound ascus
FAO:0000006,rdfs:label,stipe
FAO:0000007,rdfs:label,fruitbody
FAO:0000008,rdfs:label,ascocarp
FAO:0000009,rdfs:label,pileus
FAO:0000010,rdfs:label,sporophore
FAO:0000011,rdfs:label,mycelium
FAO:0000012,rdfs:label,basidiocarp
FAO:0000013,rdfs:label,ascospore in ascocarp-bound ascus
FAO:0000014,rdfs:label,ascus
FAO:0000015,rdfs:label,free ascus
FAO:0000016,rdfs:label,ascospore in free ascus
FAO:0000017,rdfs:label,sexual spore
FAO:0000018,rdfs:label,unicellular structure
FAO:0000019,rdfs:label,spore
FAO:0000020,rdfs:label,ascospore
FAO:0000021,rdfs:label,basidiospore
FAO:0000022,rdfs:label,teliospore
FAO:0000023,rdfs:label,asexual spore
FAO:0000024,rdfs:label,conidium
FAO:0000025,rdfs:label,mononucleate conidium
FAO:0000026,rdfs:label,urediniospore
FAO:0000027,rdfs:label,conidium of conidiophore head
FAO:0000028,rdfs:label,microconidium
FAO:0000029,rdfs:label,mononucleate macroconidium
FAO:0000030,rdfs:label,mononucleate blastoconidium
FAO:0000031,rdfs:label,mononucleate arthroconidium
FAO:0000032,rdfs:label,vegetative cell
FAO:0000033,rdfs:label,multinucleate conidium
FAO:0000034,rdfs:label,lichen thallus
FAO:0000035,rdfs:label,multinucleate macroconidium
FAO:0000036,rdfs:label,multinucleate blastoconidium
FAO:0000037,rdfs:label,multinucleate arthroconidium
FAO:0000038,rdfs:label,macroconidium
FAO:0000039,rdfs:label,oospore
FAO:0000040,rdfs:label,zygospore
FAO:0000041,rdfs:label,arthroconidium
FAO:0000042,rdfs:label,blastoconidium
FAO:0000043,rdfs:label,conidiophore
FAO:0000044,rdfs:label,sterigma
FAO:0000045,rdfs:label,phialide
FAO:0000046,rdfs:label,metula
FAO:0000047,rdfs:label,cleistothecium
FAO:0000048,rdfs:label,Hulle cell
FAO:0000049,rdfs:label,conidiophore vesicle
FAO:0000050,rdfs:label,conidiophore stalk
FAO:0000051,rdfs:label,oidium
FAO:0000052,rdfs:label,sporangium
FAO:0000053,rdfs:label,zygosporangium
FAO:0000054,rdfs:label,aeciospore
FAO:0000055,rdfs:label,aplanospore
FAO:0000056,rdfs:label,aecium
FAO:0000057,rdfs:label,telium
FAO:0000058,rdfs:label,uredinium
FAO:0000059,rdfs:label,conjugation tube
FAO:0000060,rdfs:label,clamp cell
FAO:0000061,rdfs:label,fused clamp
FAO:0000062,rdfs:label,unfused clamp
FAO:0000063,rdfs:label,titan cell
FAO:0000064,rdfs:label,ballistospore
FAO:0000065,rdfs:label,dikaryon
FAO:0000066,rdfs:label,haustorium
FAO:0000067,rdfs:label,chlamydospore
FAO:0001001,rdfs:label,hypha
FAO:0001002,rdfs:label,pseudohypha
FAO:0001003,rdfs:label,hypha in mycelium
FAO:0001004,rdfs:label,septate hypha in mycelium
FAO:0001005,rdfs:label,rhizomorph
FAO:0001006,rdfs:label,mycelial cord
FAO:0001007,rdfs:label,stroma
FAO:0001008,rdfs:label,sclerotium
FAO:0001009,rdfs:label,septate hypha
FAO:0001010,rdfs:label,aseptate hypha
FAO:0001011,rdfs:label,hyphal tip
FAO:0001012,rdfs:label,"hyphal tip, hypha in mycelium"
FAO:0001013,rdfs:label,"hypha with dolipore septa, in mycelium"
FAO:0001014,rdfs:label,aseptate hypha in mycelium
FAO:0001015,rdfs:label,"hyphal tip, septate hypha in mycelium"
FAO:0001016,rdfs:label,"hyphal tip, septate hypha"
FAO:0001017,rdfs:label,"hyphal tip, hypha with dolipore septa in mycelium"
FAO:0001018,rdfs:label,hypha with dolipore septa
FAO:0001019,rdfs:label,"hyphal tip, hypha with dolipore septa"
FAO:0001020,rdfs:label,"hyphal tip, aseptate hypha in mycelium"
FAO:0001021,rdfs:label,"hyphal tip, aseptate hypha"
FAO:0001022,rdfs:label,mating cell
FAO:0001023,rdfs:label,shmoo
FAO:0001025,rdfs:label,mycelial felt
FAO:0001027,rdfs:label,mycorrhiza
FAO:0001028,rdfs:label,sorocarp
FAO:0001029,rdfs:label,pseudoplasmodium
FAO:0001030,rdfs:label,substrate mycelium
FAO:0001031,rdfs:label,aerial mycelium
FAO:0001034,rdfs:label,apothecium
FAO:0001035,rdfs:label,gymnothecium
FAO:0001036,rdfs:label,perithecium
FAO:0001051,rdfs:label,germ tube
FAO:0001052,rdfs:label,fungal primordium
FAO:0001053,rdfs:label,microsclerotium
FAO:0002001,rdfs:label,protoperithecium
FAO:0002002,rdfs:label,multicellular fungal structure
FAO:0002003,rdfs:label,"multicellular fungal structure, unicellular organism"
FAO:0002004,rdfs:label,"multicellular fungal structure, multicellular organism"
FAO:0002005,rdfs:label,appressorium
FAO:0002006,rdfs:label,monokaryotic fruitbody
FAO:0002007,rdfs:label,conidiophore foot cell
FAO:0002008,rdfs:label,conidial anastomosis tube
FAO:0002009,rdfs:label,spherule
FAO:0002010,rdfs:label,sexual structure
FAO:0002011,rdfs:label,mating filament
FLOPO:0003948,rdfs:label,seed split
FLOPO:0012953,rdfs:label,seed mature
FLOPO:0014628,rdfs:label,seed immature
FLOPO:0016496,rdfs:label,fruit multiple
FOODON:00000000,rdfs:label,food item specification
FOODON:00000015,rdfs:label,cattle bull
FOODON:00000070,rdfs:label,lobster tail food product
FOODON:00000071,rdfs:label,food cutting process
FOODON:00000072,rdfs:label,meat (ground)
FOODON:00000073,rdfs:label,cereal food fines (byproduct)
FOODON:00000074,rdfs:label,tortoise
FOODON:00000075,rdfs:label,pea substance
FOODON:00001001,rdfs:label,orange juice (liquid)
FOODON:00001002,rdfs:label,food product
FOODON:00001003,rdfs:label,fermented agave juice
FOODON:00001004,rdfs:label,fermenting sugar cane juice
FOODON:00001005,rdfs:label,fermenting elaeis palm sap food product
FOODON:00001006,rdfs:label,mammalian meat food product
FOODON:00001007,rdfs:label,sausage food product
FOODON:00001008,rdfs:label,liver paste
FOODON:00001009,rdfs:label,hot dog
FOODON:00001010,rdfs:label,processed meat food product
FOODON:00001011,rdfs:label,milk formula food product
FOODON:00001012,rdfs:label,milk formula (powdered)
FOODON:00001013,rdfs:label,cheese food product
FOODON:00001014,rdfs:label,yogurt food product
FOODON:00001015,rdfs:label,plant food product
FOODON:00001016,rdfs:label,cabbage food product
FOODON:00001017,rdfs:label,commercial yogurt
FOODON:00001018,rdfs:label,cheese starter culture food product
FOODON:00001019,rdfs:label,wort food product
FOODON:00001020,rdfs:label,beer wort food product
FOODON:00001021,rdfs:label,acifified beer wort food product
FOODON:00001022,rdfs:label,Bleu de Bresse cheese
FOODON:00001023,rdfs:label,mammalian milk butter
FOODON:00001024,rdfs:label,pickled cabbage food product
FOODON:00001025,rdfs:label,camembert cheese food product
FOODON:00001026,rdfs:label,obsolete: cane sugar
FOODON:00001027,rdfs:label,cheddar cheese food product
FOODON:00001028,rdfs:label,Brie cheese food product
FOODON:00001029,rdfs:label,gouda cheese food product
FOODON:00001030,rdfs:label,halloumi cheese food product
FOODON:00001031,rdfs:label,gorgonzola cheese food product
FOODON:00001032,rdfs:label,swiss cheese food product
FOODON:00001033,rdfs:label,emmenthal cheese food product
FOODON:00001034,rdfs:label,harzer cheese food product
FOODON:00001035,rdfs:label,new zealand cheddar cheese food product
FOODON:00001036,rdfs:label,pont ieveque cheese food product
FOODON:00001037,rdfs:label,vacherin mont dor cheese food product
FOODON:00001038,rdfs:label,pork meat food product
FOODON:00001039,rdfs:label,cured meat food product
FOODON:00001040,rdfs:label,chicken meat food product
FOODON:00001041,rdfs:label,beef food product
FOODON:00001042,rdfs:label,bovine milk beverage
FOODON:00001043,rdfs:label,ovine milk beverage
FOODON:00001044,rdfs:label,caprine milk beverage
FOODON:00001045,rdfs:label,ice cream food product
FOODON:00001046,rdfs:label,animal seafood product
FOODON:00001047,rdfs:label,obsolete: jeotgal food product
FOODON:00001048,rdfs:label,meshanger cheese food product
FOODON:00001049,rdfs:label,pork chop food product
FOODON:00001050,rdfs:label,tempeh food product
FOODON:00001051,rdfs:label,fermented rice beverage
FOODON:00001052,rdfs:label,amasake food product
FOODON:00001053,rdfs:label,fermented dairy food product
FOODON:00001054,rdfs:label,fermented fish or seafood food product
FOODON:00001055,rdfs:label,sea water fish food product
FOODON:00001056,rdfs:label,flour food product
FOODON:00001057,rdfs:label,plant fruit food product
FOODON:00001058,rdfs:label,fruit extract food product
FOODON:00001059,rdfs:label,apple juice
FOODON:00001060,rdfs:label,awamori food product
FOODON:00001061,rdfs:label,bacon food product
FOODON:00001062,rdfs:label,fermented millet food product
FOODON:00001063,rdfs:label,millet beer food product
FOODON:00001064,rdfs:label,bottled beer food product
FOODON:00001065,rdfs:label,blue cheese food product
FOODON:00001066,rdfs:label,bottled fruit food product
FOODON:00001067,rdfs:label,buttermilk food product
FOODON:00001068,rdfs:label,obsolete: canned fruit food product
FOODON:00001069,rdfs:label,fermented fruit food product
FOODON:00001070,rdfs:label,miso food product
FOODON:00001071,rdfs:label,grape must
FOODON:00001072,rdfs:label,obsolete: yeast cake food product
FOODON:00001073,rdfs:label,vinegar food product
FOODON:00001074,rdfs:label,barley malt vinegar
FOODON:00001075,rdfs:label,"mammalian milk (nonfat, dry)"
FOODON:00001076,rdfs:label,sake food product
FOODON:00001077,rdfs:label,salt pork meat food product
FOODON:00001078,rdfs:label,fermented soybean food product
FOODON:00001079,rdfs:label,food (pickled)
FOODON:00001080,rdfs:label,tape kefan food product
FOODON:00001081,rdfs:label,Bondon cheese food product
FOODON:00001082,rdfs:label,bitter cheese food product
FOODON:00001083,rdfs:label,sugar condiment
FOODON:00001084,rdfs:label,obsolete: brown sugar
FOODON:00001085,rdfs:label,evaporated milk food product
FOODON:00001086,rdfs:label,kefir food product
FOODON:00001087,rdfs:label,vegetable oil food product
FOODON:00001088,rdfs:label,flaxseed oil
FOODON:00001089,rdfs:label,corn flour food product
FOODON:00001090,rdfs:label,sour milk beverage
FOODON:00001091,rdfs:label,dried milk food product
FOODON:00001092,rdfs:label,vertebrate animal food product
FOODON:00001093,rdfs:label,cereal grain food product
FOODON:00001094,rdfs:label,fermented beverage
FOODON:00001095,rdfs:label,fermented grape beverage
FOODON:00001096,rdfs:label,fermented elaeis palm beverage
FOODON:00001097,rdfs:label,fermented sugar cane beverage
FOODON:00001098,rdfs:label,fermented apple beverage
FOODON:00001099,rdfs:label,apple beverage
FOODON:00001100,rdfs:label,orange fruit beverage
FOODON:00001101,rdfs:label,grape beverage
FOODON:00001102,rdfs:label,fermented grain beverage
FOODON:00001103,rdfs:label,fermented agave beverage
FOODON:00001104,rdfs:label,sea water fish egg food product
FOODON:00001105,rdfs:label,avian egg food product
FOODON:00001106,rdfs:label,camelid dairy food product
FOODON:00001107,rdfs:label,bovine dairy food product
FOODON:00001108,rdfs:label,buffalo dairy food product
FOODON:00001109,rdfs:label,caprine dairy food product
FOODON:00001110,rdfs:label,donkey dairy food product
FOODON:00001111,rdfs:label,equine dairy food product
FOODON:00001112,rdfs:label,ovine dairy food product
FOODON:00001113,rdfs:label,yak dairy food product
FOODON:00001114,rdfs:label,zebra dairy food product
FOODON:00001115,rdfs:label,reindeer dairy food product
FOODON:00001116,rdfs:label,water buffalo dairy food product
FOODON:00001117,rdfs:label,horse dairy food product
FOODON:00001118,rdfs:label,cattle dairy food product
FOODON:00001119,rdfs:label,cervid dairy food product
FOODON:00001120,rdfs:label,camelid milk beverage
FOODON:00001121,rdfs:label,equine milk beverage
FOODON:00001122,rdfs:label,cervid milk beverage
FOODON:00001123,rdfs:label,cow milk beverage
FOODON:00001124,rdfs:label,caprine cheese food product
FOODON:00001125,rdfs:label,ovine cheese food product
FOODON:00001126,rdfs:label,bovine cheese food product
FOODON:00001127,rdfs:label,cow milk cheese
FOODON:00001128,rdfs:label,Limburger cheese food product
FOODON:00001129,rdfs:label,goat milk cheese food product
FOODON:00001130,rdfs:label,sheep milk cheese food product
FOODON:00001131,rdfs:label,poultry meat food product
FOODON:00001132,rdfs:label,swine food product
FOODON:00001133,rdfs:label,condiment food product
FOODON:00001134,rdfs:label,bovine meat food product
FOODON:00001135,rdfs:label,distilled fermented grain beverage
FOODON:00001136,rdfs:label,distilled fermented beverage
FOODON:00001137,rdfs:label,obsolete: soya food product
FOODON:00001138,rdfs:label,tea based beverage product
FOODON:00001139,rdfs:label,coffee based beverage product
FOODON:00001140,rdfs:label,fruit juice food product
FOODON:00001141,rdfs:label,wheat food product
FOODON:00001142,rdfs:label,maize (corn) food product
FOODON:00001143,rdfs:label,fungus food product
FOODON:00001144,rdfs:label,yeast food product
FOODON:00001145,rdfs:label,microbial food product
FOODON:00001146,rdfs:label,solanaceous root food product
FOODON:00001147,rdfs:label,plant root food product
FOODON:00001148,rdfs:label,potato food product
FOODON:00001149,rdfs:label,confectionery food product
FOODON:00001150,rdfs:label,cucurbit fruit food product
FOODON:00001151,rdfs:label,citrus fruit food product
FOODON:00001152,rdfs:label,melon fruit food product
FOODON:00001153,rdfs:label,muskmelon (Cucumis melo) fruit food product
FOODON:00001154,rdfs:label,citrullus lanatus fruit food product
FOODON:00001155,rdfs:label,obsolete: watermelon plant
FOODON:00001156,rdfs:label,citrus fruit juice
FOODON:00001157,rdfs:label,pomaceous fruit juice beverage
FOODON:00001158,rdfs:label,pomaceous fruit food product
FOODON:00001159,rdfs:label,fermented pomaceous fruit beverage
FOODON:00001160,rdfs:label,pomaceous fruit extract
FOODON:00001161,rdfs:label,citrus fruit extract food product
FOODON:00001162,rdfs:label,grape extract
FOODON:00001163,rdfs:label,solanaceous fruit food product
FOODON:00001164,rdfs:label,tomato food product
FOODON:00001165,rdfs:label,solanaceous food product
FOODON:00001166,rdfs:label,plant inflorescence food product
FOODON:00001167,rdfs:label,amaranthaceous food product
FOODON:00001168,rdfs:label,obsolete: leguminous food product
FOODON:00001169,rdfs:label,cruciferous food product
