subject,predicate,value
BFO:0000019,rdfs:label,quality
BFO:0000020,rdfs:label,specifically dependent continuant
BFO:0000023,rdfs:label,role
BFO:0000024,rdfs:label,fiat object part
BFO:0000024,rdfs:label,fiat object
BFO:0000026,rdfs:label,one-dimensional spatial region
BFO:0000027,rdfs:label,object aggregate
BFO:0000028,rdfs:label,three-dimensional spatial region
BFO:0000029,rdfs:label,site
BFO:0000030,rdfs:label,object
BFO:0000031,rdfs:label,generically dependent continuant
BFO:0000034,rdfs:label,function
BFO:0000035,rdfs:label,process boundary
BFO:0000038,rdfs:label,one-dimensional temporal region
BFO:0000040,rdfs:label,material entity
BFO:0000040,rdfs:label,material entity
BFO:0000140,rdfs:label,continuant fiat boundary
BFO:0000141,rdfs:label,immaterial entity
BFO:0000142,rdfs:label,one-dimensional continuant fiat boundary
BFO:0000144,rdfs:label,process profile
BFO:0000145,rdfs:label,relational quality
BFO:0000146,rdfs:label,two-dimensional continuant fiat boundary
BFO:0000147,rdfs:label,zero-dimensional continuant fiat boundary
BFO:0000148,rdfs:label,zero-dimensional temporal region
BFO:0000182,rdfs:label,history
BTO:0000058,rdfs:label,alimentary canal
BTO:0000262,rdfs:label,clove
BTO:0001217,rdfs:label,scape
CDNO:0000001,rdfs:label,dietary chemical component
CDNO:0000002,rdfs:label,dry plant matter
CDNO:0000003,rdfs:label,available carbohydrate
CDNO:0000004,rdfs:label,free sugar
CDNO:0000005,rdfs:label,dietary fibre
CDNO:0000006,rdfs:label,soluble dietary fibre
CDNO:0000007,rdfs:label,resistant starch
CDNO:0000008,rdfs:label,insoluble dietary fibre
CDNO:0000009,rdfs:label,seed storage protein
CDNO:0000011,rdfs:label,macro element
CDNO:0000012,rdfs:label,trace element
CDNO:0000013,rdfs:label,plant secondary metabolite
CDNO:0000014,rdfs:label,vitamin (molecular entity)
CDNO:0000015,rdfs:label,dietary calcium
CDNO:0000016,rdfs:label,dietary chlorine
CDNO:0000017,rdfs:label,dietary magnesium
CDNO:0000018,rdfs:label,dietary phosphorus
CDNO:0000019,rdfs:label,dietary potassium
CDNO:0000020,rdfs:label,dietary sodium
CDNO:0000021,rdfs:label,dietary sulfur
CDNO:0000022,rdfs:label,dietary chromium
CDNO:0000023,rdfs:label,dietary copper
CDNO:0000024,rdfs:label,dietary fluorine
CDNO:0000025,rdfs:label,dietary iodine
CDNO:0000026,rdfs:label,dietary iron
CDNO:0000027,rdfs:label,dietary manganese
CDNO:0000028,rdfs:label,dietary molybdenum
CDNO:0000029,rdfs:label,dietary selenium
CDNO:0000030,rdfs:label,dietary zinc
CDNO:0000031,rdfs:label,gum
CDNO:0100001,rdfs:label,amylopectin derived from starch
CDNO:0100002,rdfs:label,amylose derived from starch
CDNO:0100003,rdfs:label,galacturonan derived from pectin
CDNO:0100004,rdfs:label,rhamnogalacturonan derived from pectin
CDNO:0100005,rdfs:label,mannan derived from hemicellulose
CDNO:0100006,rdfs:label,xylan derived from hemicellulose
CDNO:0100007,rdfs:label,xyloglucan derived from hemicellulose
CDNO:0100008,rdfs:label,glucomannan derived from hemicellulose
CDNO:0100009,rdfs:label,arabinoxylan derived from hemicellulose
CDNO:0100010,rdfs:label,fructan derived from hemicellulose
CDNO:0100011,rdfs:label,arabinan derived from hemicellulose
CDNO:0100012,rdfs:label,galactomannan derived from hemicellulose
CDNO:0100013,rdfs:label,galactan derived from hemicellulose
CDNO:0100014,rdfs:label,glucose derived from amylopectin derived from starch
CDNO:0100015,rdfs:label,glucose derived from amylose derived from starch
CDNO:0100016,rdfs:label,glucose derived from sucrose
CDNO:0100017,rdfs:label,fructose derived from sucrose
CDNO:0100018,rdfs:label,glucose derived from maltose
CDNO:0100019,rdfs:label,galacturonic acid derived from galacturonan derived from pectin
CDNO:0100020,rdfs:label,rhamnose derived from rhamnogalacturonan derived from pectin
CDNO:0100021,rdfs:label,D-apiose derived from rhamnogalacturonan derived from pectin
CDNO:0100022,rdfs:label,galacturonic acid derived from rhamnogalacturonan derived from pectin
CDNO:0100023,rdfs:label,fucose derived from rhamnogalacturonan derived from pectin
CDNO:0100024,rdfs:label,xylose derived from rhamnogalacturonan derived from pectin
CDNO:0100025,rdfs:label,arabinose derived from rhamnogalacturonan derived from pectin
CDNO:0100026,rdfs:label,galactose derived from rhamnogalacturonan derived from pectin
CDNO:0100027,rdfs:label,raffinose derived from raffinose family oligosaccharide
CDNO:0100028,rdfs:label,galactose derived from raffinose derived from raffinose family oligosaccharide
CDNO:0100029,rdfs:label,glucose derived from raffinose derived from raffinose family oligosaccharide
CDNO:0100030,rdfs:label,fructose derived from raffinose derived from raffinose family oligosaccharide
CDNO:0100031,rdfs:label,stachyose derived from raffinose family oligosaccharide
CDNO:0100032,rdfs:label,galactose derived from stachyose derived from raffinose family oligosaccharide
CDNO:0100033,rdfs:label,glucose derived from stachyose derived from raffinose family oligosaccharidee
CDNO:0100034,rdfs:label,fructose derived from stachyose derived from raffinose family oligosaccharide
CDNO:0100035,rdfs:label,verbascose derived from raffinose family oligosaccharide
CDNO:0100036,rdfs:label,galactose derived from verbascose derived from raffinose family oligosaccharide
CDNO:0100037,rdfs:label,glucose derived from verbascose derived from raffinose family oligosaccharide
CDNO:0100038,rdfs:label,fructose derived from verbascose derived from raffinose family oligosaccharide
CDNO:0100039,rdfs:label,glucose derived from cellulose
CDNO:0100040,rdfs:label,mannose derived from mannan derived from hemicellulose
CDNO:0100041,rdfs:label,glucose derived from xylan derived from hemicellulose
CDNO:0100042,rdfs:label,xylose derived from xylan derived from hemicellulose
CDNO:0100043,rdfs:label,glucose derived from xyloglucan derived from hemicellulose
CDNO:0100044,rdfs:label,xylose derived from xyloglucan derived from hemicellulose
CDNO:0100045,rdfs:label,glucose derived from glucomannan derived from hemicellulose
CDNO:0100046,rdfs:label,mannose derived from glucomannan derived from hemicellulose
CDNO:0100047,rdfs:label,arabinose derived from arabinoxylan derived from hemicellulose
CDNO:0100048,rdfs:label,xylose derived from arabinoxylan derived from hemicellulose
CDNO:0100049,rdfs:label,inulin derived from fructan
CDNO:0100050,rdfs:label,fructose derived from inulin derived from fructan
CDNO:0100051,rdfs:label,amino acid derived from protein
CDNO:0200001,rdfs:label,concentration of dietary chemical component in material entity
CDNO:0200002,rdfs:label,concentration of water in material entity
CDNO:0200003,rdfs:label,concentration of dry plant matter in material entity
CDNO:0200004,rdfs:label,concentration of ash in material entity
CDNO:0200005,rdfs:label,concentration of carbohydrate in material entity
CDNO:0200006,rdfs:label,concentration of polysaccharide in material entity
CDNO:0200007,rdfs:label,concentration of starch in material entity
CDNO:0200008,rdfs:label,concentration of pectin in material entity
CDNO:0200009,rdfs:label,concentration of cellulose in material entity
CDNO:0200010,rdfs:label,concentration of hemicellulose in material entity
CDNO:0200011,rdfs:label,concentration of inulin in material entity
CDNO:0200012,rdfs:label,concentration of monosaccharide in material entity
